num views,num rows,num channels,batch size,peak memory (GB),avail memory (GB),elapsed time0 (sec),elapsed time1 (sec)
500,800,50,250,3.656,10.026,4.9,4.9
500,800,50,500,6.812,10.026,5.7,5.7
500,800,50,800,6.812,10.026,4.4,4.4
500,800,100,100,2.639,10.026,11.0,11.0
500,800,100,250,5.529,10.026,6.3,6.3
500,800,100,500,7.283,10.026,7.5,7.5
500,800,100,800,7.283,10.026,2.4,2.4
500,800,250,100,4.028,10.026,13.0,13.0
500,800,250,250,7.016,10.026,9.5,9.5
500,800,250,500,8.645,10.026,10.4,10.4
500,800,250,800,8.645,10.026,5.5,5.5
500,800,500,100,6.713,10.026,26.5,26.5
500,800,500,500,8.897,10.026,24.6,24.6
500,800,500,800,8.897,10.026,18.2,18.2
500,800,800,100,8.524,10.026,67.2,67.2
500,1250,50,100,2.356,10.026,9.1,9.1
500,1250,50,250,3.646,10.026,6.6,6.6
500,1250,50,500,3.669,10.026,6.6,6.6
500,1250,50,800,3.669,10.026,2.0,2.0
500,1250,100,100,3.872,10.026,12.0,12.0
500,1250,100,250,4.723,10.026,10.3,10.3
500,1250,100,500,5.841,10.026,10.5,10.5
500,1250,100,800,5.841,10.026,3.4,3.4
500,1250,250,100,6.041,10.026,16.0,16.0
500,1250,250,250,7.969,10.026,13.2,13.2
500,1250,250,500,7.969,10.026,12.8,12.8
500,1250,250,800,7.969,10.026,8.2,8.2
800,50,50,100,0.211,10.026,8.5,8.5
800,50,50,250,0.406,10.026,5.3,5.3
800,50,50,500,0.644,10.026,4.7,4.7
800,50,50,800,1.254,10.026,6.0,6.0
800,50,100,100,0.266,10.026,11.2,11.2
800,50,100,250,0.554,10.026,6.8,6.8
800,50,100,500,0.806,10.026,6.4,6.4
800,50,100,800,1.398,10.026,8.1,8.1
800,50,250,100,0.431,10.026,10.4,10.4
800,50,250,250,0.566,10.026,6.7,6.7
800,50,250,500,0.933,10.026,7.0,7.0
800,50,250,800,1.110,10.026,8.4,8.4
800,50,500,100,0.594,10.026,11.9,11.9
